datum,vertrektijd,aankomsttijd,status
2016-10-03,2016-10-03 18:03:00,2016-10-03 19:13:00,onderweg
2016-10-03,2016-10-03 19:13:00,2016-10-03 23:59:59,op bestemming
2016-10-04,2016-10-04 00:00:00,2016-10-04 10:56:00,op bestemming
2016-10-04,2016-10-04 10:56:00,2016-10-04 12:18:00,onderweg
2016-10-04,2016-10-04 12:18:00,2016-10-04 17:30:00,op bestemming
2016-10-04,2016-10-04 17:30:00,2016-10-04 18:32:00,onderweg
2016-10-04,2016-10-04 18:32:00,2016-10-04 23:59:59,op bestemming
2016-10-05,2016-10-05 00:00:00,2016-10-05 12:37:00,op bestemming
2016-10-05,2016-10-05 12:37:00,2016-10-05 13:44:00,onderweg
2016-10-05,2016-10-05 13:44:00,2016-10-05 17:59:00,op bestemming
2016-10-05,2016-10-05 17:59:00,2016-10-05 19:06:00,onderweg
2016-10-05,2016-10-05 19:06:00,2016-10-05 23:59:59,op bestemming
2016-10-06,2016-10-06 00:00:00,2016-10-06 10:33:00,op bestemming
2016-10-06,2016-10-06 10:33:00,2016-10-06 11:38:00,onderweg
2016-10-06,2016-10-06 11:38:00,2016-10-06 17:38:00,op bestemming
2016-10-06,2016-10-06 17:38:00,2016-10-06 18:57:00,onderweg
2016-10-06,2016-10-06 18:57:00,2016-10-06 23:59:59,op bestemming
2016-10-07,2016-10-07 00:00:00,2016-10-07 23:59:59,op bestemming
2016-10-08,2016-10-08 00:00:00,2016-10-08 23:59:59,op bestemming
2016-10-09,2016-10-09 00:00:00,2016-10-09 23:59:59,op bestemming
